OrderID,VehicleID,Sequence,StopID,ArrivalTime,WaitingTime,UnloadingTime,DepartureTime
O_478,Veh3500_136,5,S_570,2024-09-01 08:56:00,0,6.449999999999999,2024-09-01 09:03:00
O_1359,Veh3500_136,6,S_570,2024-09-01 09:03:00,0,4.3,2024-09-01 09:07:00
O_396,Veh3500_136,7,S_466,2024-09-01 10:50:00,0,8.45,2024-09-01 10:59:00
O_380,Veh3500_137,1,S_447,2024-09-01 06:37:00,0,7.4,2024-09-01 06:44:00
O_1285,Veh3500_137,2,S_447,2024-09-01 06:44:00,0,4.75,2024-09-01 06:49:00
O_1286,Veh3500_137,3,S_447,2024-09-01 06:49:00,0,11.95,2024-09-01 07:01:00
O_388,Veh3500_137,4,S_458,2024-09-01 07:18:00,0,12.15,2024-09-01 07:30:00
O_1306,Veh3500_137,5,S_458,2024-09-01 07:30:00,0,5.4,2024-09-01 07:35:00
O_368,Veh3500_138,1,S_431,2024-09-01 06:29:00,0,3.9,2024-09-01 06:33:00
O_1637,Veh3500_138,2,S_431,2024-09-01 06:33:00,0,13.9,2024-09-01 06:46:00
O_444,Veh3500_138,3,S_530,2024-09-01 07:35:00,0,4.65,2024-09-01 07:40:00
O_1731,Veh3500_138,4,S_530,2024-09-01 07:40:00,0,4.75,2024-09-01 07:44:00
O_1732,Veh3500_138,5,S_530,2024-09-01 07:44:00,0,5.1,2024-09-01 07:49:00
O_1734,Veh3500_138,6,S_530,2024-09-01 07:49:00,0,6.05,2024-09-01 07:56:00
O_790,Veh3500_138,7,S_934,2024-09-01 08:32:00,0,3.5,2024-09-01 08:36:00
O_471,Veh3500_139,1,S_562,2024-09-01 07:35:00,0,5.65,2024-09-01 07:41:00
O_1974,Veh3500_139,2,S_562,2024-09-01 07:41:00,0,20.2,2024-09-01 08:01:00
O_1975,Veh3500_139,3,S_562,2024-09-01 08:01:00,0,3.5,2024-09-01 08:04:00
O_625,Veh3500_139,4,S_747,2024-09-01 09:34:00,0,7.95,2024-09-01 09:42:00
O_1098,Veh3500_139,5,S_747,2024-09-01 09:42:00,0,7.45,2024-09-01 09:49:00
O_1099,Veh3500_139,6,S_747,2024-09-01 09:49:00,0,4.1,2024-09-01 09:53:00
O_473,Veh3500_139,7,S_564,2024-09-01 11:33:00,0,3.6,2024-09-01 11:36:00
O_982,Veh3500_139,8,S_564,2024-09-01 11:36:00,0,5.949999999999999,2024-09-01 11:42:00
O_479,Veh3500_140,1,S_571,2024-09-01 07:34:00,0,11.95,2024-09-01 07:46:00
O_2185,Veh3500_140,2,S_571,2024-09-01 07:46:00,0,3.95,2024-09-01 07:50:00
O_2186,Veh3500_140,3,S_571,2024-09-01 07:50:00,0,5.2,2024-09-01 07:55:00
O_2187,Veh3500_140,4,S_571,2024-09-01 07:55:00,0,3.7,2024-09-01 07:59:00
O_400,Veh3500_140,5,S_473,2024-09-01 09:34:00,0,23.0,2024-09-01 09:57:00
O_1654,Veh3500_140,6,S_473,2024-09-01 09:57:00,0,5.800000000000001,2024-09-01 10:03:00
O_1655,Veh3500_140,7,S_473,2024-09-01 10:03:00,0,5.1,2024-09-01 10:08:00
O_393,Veh3500_140,8,S_463,2024-09-01 10:32:00,0,5.2,2024-09-01 10:37:00
O_465,Veh3500_141,1,S_556,2024-09-01 06:54:00,0,4.65,2024-09-01 06:59:00
O_1226,Veh3500_141,2,S_556,2024-09-01 06:59:00,0,13.149999999999999,2024-09-01 07:12:00
O_1227,Veh3500_141,3,S_556,2024-09-01 07:12:00,0,4.0,2024-09-01 07:16:00
O_390,Veh3500_141,4,S_460,2024-09-01 08:13:00,0,6.05,2024-09-01 08:19:00
O_2130,Veh3500_141,5,S_460,2024-09-01 08:19:00,0,4.55,2024-09-01 08:23:00
O_2131,Veh3500_141,6,S_460,2024-09-01 08:23:00,0,21.45,2024-09-01 08:45:00
O_402,Veh3500_141,7,S_475,2024-09-01 09:14:00,0,4.15,2024-09-01 09:18:00
O_1602,Veh3500_141,8,S_475,2024-09-01 09:18:00,0,4.1,2024-09-01 09:22:00
O_392,Veh3500_142,1,S_462,2024-09-01 06:19:00,0,4.1,2024-09-01 06:23:00
O_1711,Veh3500_142,2,S_462,2024-09-01 06:23:00,0,4.7,2024-09-01 06:27:00
O_1712,Veh3500_142,3,S_462,2024-09-01 06:27:00,0,18.1,2024-09-01 06:46:00
O_1713,Veh3500_142,4,S_462,2024-09-01 06:46:00,0,3.7,2024-09-01 06:49:00
O_412,Veh3500_142,5,S_488,2024-09-01 07:15:00,0,3.55,2024-09-01 07:18:00
O_1104,Veh3500_142,6,S_488,2024-09-01 07:18:00,0,10.1,2024-09-01 07:28:00
O_409,Veh3500_142,7,S_483,2024-09-01 08:11:00,0,5.5,2024-09-01 08:17:00
O_969,Veh3500_142,8,S_483,2024-09-01 08:17:00,0,7.4,2024-09-01 08:24:00
O_794,Veh3500_143,1,S_941,2024-09-01 06:58:00,0,8.0,2024-09-01 07:06:00
O_427,Veh3500_143,2,S_509,2024-09-01 08:02:00,0,6.15,2024-09-01 08:08:00
O_1908,Veh3500_143,3,S_509,2024-09-01 08:08:00,0,6.0,2024-09-01 08:14:00
O_468,Veh3500_143,4,S_559,2024-09-01 09:11:00,0,6.2,2024-09-01 09:17:00
O_2009,Veh3500_143,5,S_559,2024-09-01 09:17:00,0,3.55,2024-09-01 09:21:00
O_2010,Veh3500_143,6,S_559,2024-09-01 09:21:00,0,3.55,2024-09-01 09:25:00
O_2011,Veh3500_143,7,S_559,2024-09-01 09:25:00,0,4.8,2024-09-01 09:29:00
O_477,Veh3500_143,8,S_568,2024-09-01 10:56:00,0,4.8,2024-09-01 11:00:00
O_1193,Veh3500_143,9,S_568,2024-09-01 11:00:00,0,6.0,2024-09-01 11:06:00
O_1194,Veh3500_143,10,S_568,2024-09-01 11:06:00,0,3.5,2024-09-01 11:10:00
O_458,Veh3500_143,11,S_549,2024-09-01 12:59:00,0,8.899999999999999,2024-09-01 13:08:00
O_421,Veh3500_144,1,S_499,2024-09-01 06:14:00,0,7.4,2024-09-01 06:21:00
O_1115,Veh3500_144,2,S_499,2024-09-01 06:21:00,0,4.2,2024-09-01 06:26:00
O_1116,Veh3500_144,3,S_499,2024-09-01 06:26:00,0,5.5,2024-09-01 06:31:00
O_470,Veh3500_144,4,S_561,2024-09-01 07:35:00,0,7.1499999999999995,2024-09-01 07:42:00
O_1956,Veh3500_144,5,S_561,2024-09-01 07:42:00,0,3.55,2024-09-01 07:46:00
O_419,Veh3500_144,6,S_496,2024-09-01 08:43:00,0,4.55,2024-09-01 08:47:00
O_1243,Veh3500_144,7,S_496,2024-09-01 08:47:00,0,4.4,2024-09-01 08:52:00
O_386,Veh3500_144,8,S_455,2024-09-01 09:31:00,0,7.95,2024-09-01 09:39:00
O_1880,Veh3500_144,9,S_455,2024-09-01 09:39:00,0,4.0,2024-09-01 09:43:00
O_1881,Veh3500_144,10,S_455,2024-09-01 09:43:00,0,3.8,2024-09-01 09:47:00
O_438,Veh3500_144,11,S_522,2024-09-01 10:33:00,0,4.15,2024-09-01 10:38:00
O_1529,Veh3500_144,12,S_522,2024-09-01 10:38:00,0,3.8,2024-09-01 10:41:00
O_365,Veh3500_144,13,S_428,2024-09-01 11:37:00,0,4.0,2024-09-01 11:41:00
O_1259,Veh3500_144,14,S_428,2024-09-01 11:41:00,0,4.05,2024-09-01 11:45:00
O_467,Veh3500_144,15,S_558,2024-09-01 12:38:00,0,5.4,2024-09-01 12:44:00
O_1927,Veh3500_144,16,S_558,2024-09-01 12:44:00,0,3.55,2024-09-01 12:47:00
O_1928,Veh3500_144,17,S_558,2024-09-01 12:47:00,0,3.7,2024-09-01 12:51:00
O_1929,Veh3500_144,18,S_558,2024-09-01 12:51:00,0,3.9,2024-09-01 12:55:00
O_422,Veh3500_144,19,S_500,2024-09-01 13:55:00,0,3.7,2024-09-01 13:59:00
O_2264,Veh3500_144,20,S_500,2024-09-01 13:59:00,0,3.75,2024-09-01 14:03:00
O_2265,Veh3500_144,21,S_500,2024-09-01 14:03:00,0,4.15,2024-09-01 14:07:00
O_462,Veh3500_144,22,S_553,2024-09-01 14:53:00,0,4.2,2024-09-01 14:58:00
O_1202,Veh3500_144,23,S_553,2024-09-01 14:58:00,0,4.2,2024-09-01 15:02:00
O_981,Veh3500_144,24,S_531,2024-09-01 15:35:00,0,6.35,2024-09-01 15:41:00
O_1888,Veh3500_145,1,S_537,2024-09-01 06:36:00,0,14.65,2024-09-01 06:51:00
